Time,Temperature,Humidity,"Battery level",Rain,Wind,Light
"23:07:2022 00:00:00",-13.36,97.77,33.92,9.37,16,9151
"23:07:2022 01:00:00",11.29,85.48,30.45,8.27,28.41,7351
"23:07:2022 02:00:00",-2.36,59.42,5.88,14.13,8.47,8551
"23:07:2022 03:00:00",3.73,41.73,91.86,21.25,8.29,8185
"23:07:2022 04:00:00",0.86,15.95,63.42,13.29,29.8,8526
"23:07:2022 05:00:00",-6.32,23.42,82.66,8.77,24.79,3151
"23:07:2022 06:00:00",-10.59,42.17,27.07,3.93,14.56,5694
"23:07:2022 07:00:00",12.32,83.55,19.5,11.87,22.85,892
"23:07:2022 08:00:00",-2.45,80.1,56.96,15.17,28.66,5923
"23:07:2022 09:00:00",9.81,85.66,0.29,16.69,15.8,1930
"23:07:2022 10:00:00",-5.66,57.57,86.53,4.15,17.13,3070
"23:07:2022 11:00:00",5.51,93.08,62.44,27.8,25.67,390
"23:07:2022 12:00:00",-11.9,17.79,5.13,8.71,4.23,8718
"23:07:2022 13:00:00",-1.55,79.22,63.44,6.18,0.85,5877
"23:07:2022 14:00:00",-9.71,58.55,7.65,28.05,22.62,9096
"23:07:2022 15:00:00",-3.59,23.74,71.5,28.48,12.29,1263
"23:07:2022 16:00:00",12.03,43.49,82.58,5.15,22.75,213
"23:07:2022 17:00:00",-11.03,25.43,46.76,21.93,18.48,1305
"23:07:2022 18:00:00",-10.25,28.73,98.72,30.02,20.8,6044
"23:07:2022 19:00:00",17.46,68.67,3.3,5.43,9.41,6906
"23:07:2022 20:00:00",6.43,53.18,57.94,15.43,26.87,2951
"23:07:2022 21:00:00",15.45,10.03,28.34,11.62,17.87,4009
"23:07:2022 22:00:00",16,16.14,83.28,10.8,29.91,769
"23:07:2022 23:00:00",14.71,88.23,62.99,1.82,30.32,7639
