Time,Temperature,Humidity,"Battery level",Rain,Wind,Light
"25:07:2022 00:00:00",-10.73,76.1,49.78,11.13,5.4,3055
"25:07:2022 01:00:00",1.59,64.35,86.41,11.11,27.13,667
"25:07:2022 02:00:00",-5.68,29.12,34.04,1.69,15.2,4225
"25:07:2022 03:00:00",-19.33,38.14,44.96,18.83,12.69,7395
"25:07:2022 04:00:00",2.71,8.23,44.39,23.58,22.12,340
"25:07:2022 05:00:00",-12.92,75.5,93.16,0.94,17.09,935
"25:07:2022 06:00:00",11.92,21.71,33.63,9.52,6.7,9519
"25:07:2022 07:00:00",18.59,72.83,30.22,15.36,20.38,4896
"25:07:2022 08:00:00",-11.68,57.04,75.68,10.66,25.33,6473
"25:07:2022 09:00:00",-8.94,36.55,34.97,17.25,28.7,3513
"25:07:2022 10:00:00",-14.67,83.16,27,2.67,10.57,1919
"25:07:2022 11:00:00",-12.67,36.94,40.98,4.05,16.55,1596
"25:07:2022 12:00:00",-6.3,19.04,98.26,22.24,25.32,2508
"25:07:2022 13:00:00",-18.29,7.48,59.66,2.32,12.97,7693
"25:07:2022 14:00:00",20.95,30.99,18.75,19.2,14.94,1353
"25:07:2022 15:00:00",-2.24,89.89,7.19,14.67,6.94,6182
"25:07:2022 16:00:00",9.36,65.93,15.1,15.63,7.82,7699
"25:07:2022 17:00:00",-4.97,17.39,70.08,27.42,25.08,2485
"25:07:2022 18:00:00",-18.25,69.78,81.23,16.29,8.37,9180
"25:07:2022 19:00:00",10.98,77.33,34.21,11.38,1.02,1415
"25:07:2022 20:00:00",-12.45,74.45,91.01,0.23,23.57,525
"25:07:2022 21:00:00",11.85,1.87,53.75,7.05,15.88,8475
"25:07:2022 22:00:00",-11.91,33.94,59.58,17.15,12.92,6992
"25:07:2022 23:00:00",-11.32,56.24,43.67,29.51,12.9,3392
