Time,Temperature,Humidity,"Battery level",Rain,Wind,Light
"21:07:2022 00:00:00",3.96,25.02,8.52,26.82,13.27,579
"21:07:2022 01:00:00",-18.01,70.24,80.88,19.66,22.44,7425
"21:07:2022 02:00:00",-2.59,54.88,10.57,23.86,9.99,1759
"21:07:2022 03:00:00",-7.13,95.58,59.14,13.54,7.3,7062
"21:07:2022 04:00:00",17.63,56.84,86.47,20.79,28.77,3750
"21:07:2022 05:00:00",11.25,17.19,7.82,25.95,0.24,472
"21:07:2022 06:00:00",-17.42,31.86,6.9,30.98,5.96,4258
"21:07:2022 07:00:00",17.96,55.73,63.27,0.7,20.18,9203
"21:07:2022 08:00:00",-12.45,75.94,83.6,4.06,13.99,4994
"21:07:2022 09:00:00",12.09,10.99,31.61,8.51,0.37,6704
"21:07:2022 10:00:00",-12.62,89.73,0.75,5.5,10.45,624
"21:07:2022 11:00:00",7.07,71.19,46.16,19.13,28,5795
"21:07:2022 12:00:00",-5.09,8.26,44.89,20.89,20.63,7626
"21:07:2022 13:00:00",12.71,28.11,5.54,30.65,4.24,5102
"21:07:2022 14:00:00",-7.31,49.54,22.72,15.04,10.02,8014
"21:07:2022 15:00:00",-0.65,53.79,66.94,30.98,8.64,3742
"21:07:2022 16:00:00",-7.42,37.17,91.94,21.2,9.48,5885
"21:07:2022 17:00:00",-14.8,95.9,49.95,14.9,6.93,3182
"21:07:2022 18:00:00",-5.97,30.82,14.57,12.16,21.39,3403
"21:07:2022 19:00:00",-0.86,78.67,3.37,29.42,2.07,4714
"21:07:2022 20:00:00",-18.77,58.46,25.2,16.07,13.56,1880
"21:07:2022 21:00:00",8.02,0.39,57.46,19.74,3.72,3908
"21:07:2022 22:00:00",-3.15,61.38,54.55,26.79,18.04,8894
"21:07:2022 23:00:00",-7.94,7.21,26.5,9.28,2.52,175
