Time,Temperature,Humidity,"Battery level",Rain,Wind,Light
"11:07:2022 00:00:00",-15.12,34.18,19.1,4.81,3.33,2680
"11:07:2022 01:00:00",-18.66,40.69,12.3,0.47,18.18,7944
"11:07:2022 02:00:00",20.27,22.6,88.23,8.25,9.44,7883
"11:07:2022 03:00:00",5.82,78.05,70.09,10,0.92,6369
"11:07:2022 04:00:00",0.02,33.71,84.08,13.18,23.46,5541
"11:07:2022 05:00:00",0.46,98.8,30.41,25.42,13.11,4870
"11:07:2022 06:00:00",-9.17,21.62,44.63,23.95,20.97,4763
"11:07:2022 07:00:00",-13.16,87.8,54.1,28.4,1.91,3879
"11:07:2022 08:00:00",-1.78,19.32,48.35,26.85,0.95,5262
"11:07:2022 09:00:00",-11.84,67.92,39.93,26.97,7.75,6653
"11:07:2022 10:00:00",8.19,87.02,26.48,19.25,12.03,779
"11:07:2022 11:00:00",0.73,14.05,9.31,4.91,17.43,4981
"11:07:2022 12:00:00",5.92,1.31,84.14,17.53,12.35,6780
"11:07:2022 13:00:00",-19.38,17.25,64.48,14.97,21.86,7486
"11:07:2022 14:00:00",-4.39,92.55,7.39,11.37,30.89,7980
"11:07:2022 15:00:00",-11.68,69.16,13.64,27.74,17.8,9275
"11:07:2022 16:00:00",-1.47,57.16,37.4,8.32,13.36,7108
"11:07:2022 17:00:00",2.57,28.81,58.53,8.46,4.79,958
"11:07:2022 18:00:00",17.7,34.3,21.01,24.11,26.91,108
"11:07:2022 19:00:00",-12.65,24.16,35.04,28.15,4.05,8479
"11:07:2022 20:00:00",8.13,54.59,6.01,11.63,22.33,9275
"11:07:2022 21:00:00",4.52,64.12,65.34,16.84,20.33,993
"11:07:2022 22:00:00",-15.76,71.15,84.02,12.67,10.45,1253
"11:07:2022 23:00:00",-15.2,63.4,19.87,1.82,2.73,8007
