Time,Temperature,Humidity,"Battery level",Rain,Wind,Light
"24:07:2022 00:00:00",-17.29,5.54,51.24,4.2,10.63,1661
"24:07:2022 01:00:00",6.17,98.9,65.25,21.62,11.54,1238
"24:07:2022 02:00:00",-6.98,14.21,73.6,23.15,2.03,473
"24:07:2022 03:00:00",-11.51,45.69,49.41,20.74,9.59,9915
"24:07:2022 04:00:00",12.17,76.27,65.15,2.52,4.61,7109
"24:07:2022 05:00:00",5.98,20.34,19.49,24.61,9.24,9629
"24:07:2022 06:00:00",4.32,66.54,43.36,7.93,24.23,8508
"24:07:2022 07:00:00",1.99,84.55,30.97,30.57,17.66,7621
"24:07:2022 08:00:00",-7.28,89.88,46.71,8.28,13.09,4781
"24:07:2022 09:00:00",-19.93,97.76,95.85,24.63,16.68,2970
"24:07:2022 10:00:00",14.73,96.4,22.33,15.1,24.88,7024
"24:07:2022 11:00:00",-7.86,87.16,61.23,22.02,21.89,3914
"24:07:2022 12:00:00",-2.45,21.13,62.37,26.84,9.33,1239
"24:07:2022 13:00:00",10.25,63.17,93,13.86,9.37,9184
"24:07:2022 14:00:00",-4.83,72.27,54.41,18.77,15.81,7362
"24:07:2022 15:00:00",-17.23,21.37,44.53,8.71,30.69,8700
"24:07:2022 16:00:00",10.71,3.03,13.74,20.99,19.26,4583
"24:07:2022 17:00:00",17.14,99.67,59.55,16.55,30.5,9952
"24:07:2022 18:00:00",-5.46,44.02,0.78,2.31,15.05,1090
"24:07:2022 19:00:00",-13.47,70.89,79.8,3.01,13.3,3585
"24:07:2022 20:00:00",5.4,74.76,68.93,0.05,2.11,4941
"24:07:2022 21:00:00",6.39,93.26,44,13.81,11.26,2055
"24:07:2022 22:00:00",-12.17,5.65,51.03,2.44,28.98,5190
"24:07:2022 23:00:00",-4.48,73.61,23.36,28.06,15.06,4607
