Time,Temperature,Humidity,"Battery level",Rain,Wind,Light
"16:07:2022 00:00:00",-14.87,25.72,95.99,9.92,3.69,3337
"16:07:2022 01:00:00",-2.41,4.91,45.05,24.79,12.38,9733
"16:07:2022 02:00:00",8.09,17.07,33.06,3.39,15.16,8161
"16:07:2022 03:00:00",-9.09,46.19,49.68,14.52,3.09,777
"16:07:2022 04:00:00",3.18,3.61,19.15,12.63,1.59,6323
"16:07:2022 05:00:00",12.67,27.64,18.33,22.46,27.61,6912
"16:07:2022 06:00:00",-1.21,57.81,45.71,17.1,3.2,8489
"16:07:2022 07:00:00",-10.02,80.4,38.08,15.45,2.19,6376
"16:07:2022 08:00:00",-19.53,71.6,18.56,9.58,4,3607
"16:07:2022 09:00:00",7.94,16.99,69.2,28.48,6.09,5022
"16:07:2022 10:00:00",-16.56,73.57,40.17,19.86,15.53,8646
"16:07:2022 11:00:00",6.31,19.03,46.58,23.97,17.23,1937
"16:07:2022 12:00:00",5.14,38.44,60.78,17.03,25.11,2384
"16:07:2022 13:00:00",20.13,57.3,45.85,28.43,29.23,8137
"16:07:2022 14:00:00",-12.57,98.55,89.31,8.77,29.14,8976
"16:07:2022 15:00:00",17.5,10.36,78.99,29.61,8.58,8110
"16:07:2022 16:00:00",-6.32,89.42,11.37,2.35,4.78,7362
"16:07:2022 17:00:00",-14.53,57.38,47.89,0.49,30.37,309
"16:07:2022 18:00:00",-19.88,3.82,63.98,18.03,29.51,2371
"16:07:2022 19:00:00",-2.65,62.55,9.34,4.15,18.51,5152
"16:07:2022 20:00:00",-10.78,48.18,48.57,24.17,10.29,4754
"16:07:2022 21:00:00",20.71,88.6,91.12,0.68,12.24,1743
"16:07:2022 22:00:00",15.2,21.82,2.93,11.68,26.57,1687
"16:07:2022 23:00:00",1.28,5.07,53.4,24.45,21.1,3222
