Time,Temperature,Humidity,"Battery level",Rain,Wind,Light
"18:07:2022 00:00:00",11.19,14.2,65,9.03,12.14,4068
"18:07:2022 01:00:00",2.23,44.36,65.02,2.9,21.25,3395
"18:07:2022 02:00:00",-13.73,10.51,4.31,22.67,22.05,2086
"18:07:2022 03:00:00",2.28,33.25,53.72,3.63,1.92,3436
"18:07:2022 04:00:00",-6.49,7.91,34.48,7.53,25.18,2188
"18:07:2022 05:00:00",13.26,96.54,89.74,11.21,29.35,5458
"18:07:2022 06:00:00",-9.87,41.55,8.09,2.34,22.43,5621
"18:07:2022 07:00:00",19.14,83.42,94.75,11.69,24.74,5682
"18:07:2022 08:00:00",8.54,12.29,18,20.42,0.72,2931
"18:07:2022 09:00:00",10.06,89.45,80.33,17.42,5.52,942
"18:07:2022 10:00:00",-3.15,52.67,28.97,7.39,12.7,3126
"18:07:2022 11:00:00",16.25,57.48,70.48,0.03,28.08,9921
"18:07:2022 12:00:00",-10.54,41.69,7.85,3.61,2.03,8816
"18:07:2022 13:00:00",13.1,36.7,40.8,12.9,3.95,980
"18:07:2022 14:00:00",-8.99,51.77,45.79,8.17,0.67,773
"18:07:2022 15:00:00",-2.68,42.36,42.34,24.08,1.41,1639
"18:07:2022 16:00:00",12.03,96.2,26.32,22.54,20.35,1660
"18:07:2022 17:00:00",-15.66,95.23,59.62,19.18,17.58,7114
"18:07:2022 18:00:00",-9.74,99.98,93.19,30.16,10.24,4880
"18:07:2022 19:00:00",16.34,80.26,50.93,14.43,1.5,2563
"18:07:2022 20:00:00",10.28,28.89,76.48,26.7,15.38,2364
"18:07:2022 21:00:00",-14.66,98.56,43.58,4.06,19.02,5162
"18:07:2022 22:00:00",-2.65,87.85,73.55,18.17,3.22,7132
"18:07:2022 23:00:00",-8.05,22.01,95.6,11.19,7.09,8789
