Time,Temperature,Humidity,"Battery level",Rain,Wind,Light
"17:07:2022 00:00:00",3.68,87.42,46.15,26.76,20.59,7691
"17:07:2022 01:00:00",11.2,72.28,45.21,28.68,15.35,2840
"17:07:2022 02:00:00",-12.53,38.09,49.22,18.07,30.68,6002
"17:07:2022 03:00:00",-2.46,61.01,18.82,14.3,12.93,1182
"17:07:2022 04:00:00",-3.35,86.11,3.71,21.57,22.9,8882
"17:07:2022 05:00:00",7.27,49.99,20.79,13.4,0.66,593
"17:07:2022 06:00:00",-6.55,19.37,92.13,6.24,4.1,2480
"17:07:2022 07:00:00",-12.26,42.43,42.93,6.39,16.01,1065
"17:07:2022 08:00:00",5.45,49.39,15.51,24.98,22.33,2856
"17:07:2022 09:00:00",-5.39,69.73,59.52,13.21,9.1,490
"17:07:2022 10:00:00",-6.53,99.73,50.24,24.95,29.04,6196
"17:07:2022 11:00:00",8.6,33.31,76.26,18.33,12.6,797
"17:07:2022 12:00:00",-14.55,54.16,76.27,21.73,30.39,1306
"17:07:2022 13:00:00",13.97,96.34,1.27,0.72,13.53,2994
"17:07:2022 14:00:00",-18.1,11.32,65.82,28.71,25.8,2279
"17:07:2022 15:00:00",8.43,62.65,75.43,13.83,9.38,557
"17:07:2022 16:00:00",-5.81,53.26,39.39,3.99,15.89,7821
"17:07:2022 17:00:00",12.06,9.41,54.48,0.44,12.75,2403
"17:07:2022 18:00:00",-13.1,93.29,74.94,6.1,20.53,4911
"17:07:2022 19:00:00",18.71,33.48,31.48,2.84,12.85,6530
"17:07:2022 20:00:00",-13.78,80.14,64.51,26.31,18.03,7881
"17:07:2022 21:00:00",-8.19,71.84,93.28,22.29,3.42,2982
"17:07:2022 22:00:00",-18.95,63.19,16.82,3.89,27.16,4812
"17:07:2022 23:00:00",-19.23,65.17,38.83,29.41,14.99,553
