Time,Temperature,Humidity,"Battery level",Rain,Wind,Light
"26:07:2022 00:00:00",14.89,29,37.52,15.04,0.21,4518
"26:07:2022 01:00:00",-0.81,93.88,3.85,3.07,30.14,2499
"26:07:2022 02:00:00",0.47,3.22,45.18,20.08,19.55,9017
"26:07:2022 03:00:00",20.56,62.05,12.85,16.19,28.15,3758
"26:07:2022 04:00:00",-12.58,56.76,37.93,16.76,24.71,3261
"26:07:2022 05:00:00",5.25,41.9,35.4,24.69,6.94,4959
"26:07:2022 06:00:00",10.83,90.22,12.78,6.92,24.97,3786
"26:07:2022 07:00:00",-8.83,5.68,88.74,4.62,16.24,6631
"26:07:2022 08:00:00",-9.89,69.83,92.2,14.99,4.26,6920
"26:07:2022 09:00:00",-1.46,0.75,56.86,28.27,15.09,7181
"26:07:2022 10:00:00",-4.59,75.63,13.17,10.92,28.54,678
"26:07:2022 11:00:00",6.45,43.87,42.67,17.27,3.2,7781
"26:07:2022 12:00:00",15.82,27.9,74.01,13.66,28.45,5940
"26:07:2022 13:00:00",17.49,25.26,59.73,1.64,11.18,1792
"26:07:2022 14:00:00",-15.4,69.07,70.56,19.71,19.35,7760
"26:07:2022 15:00:00",3.57,49,29.59,25.39,25.14,2536
"26:07:2022 16:00:00",-2.39,12.3,28.53,5.35,30.6,18
"26:07:2022 17:00:00",-13.09,36.67,6.53,23.21,29.81,10
"26:07:2022 18:00:00",19.66,95.5,66.01,21.13,7.67,4651
"26:07:2022 19:00:00",-18.7,2.8,73.08,10.38,23.09,3992
"26:07:2022 20:00:00",17.55,78.19,36.32,16.62,22.6,7640
"26:07:2022 21:00:00",-2.67,94.36,16.65,29.53,28.53,3468
"26:07:2022 22:00:00",-11.44,91.42,67.14,21.22,18.74,3823
"26:07:2022 23:00:00",-11.76,66.45,20.46,2.95,28.32,2666
