Time,Temperature,Humidity,"Battery level",Rain,Wind,Light
"10:07:2022 00:00:00",-4.99,71.91,69.43,9.42,14.6,8016
"10:07:2022 01:00:00",-17.49,33.43,68.58,5.58,2.45,5997
"10:07:2022 02:00:00",-9.2,85.8,62.5,28.99,14.91,3114
"10:07:2022 03:00:00",12.23,35.48,88.5,3.33,2.53,8583
"10:07:2022 04:00:00",-4.28,81.21,92.62,26.5,1.42,1946
"10:07:2022 05:00:00",12.17,98.68,57.74,23.01,0.68,3381
"10:07:2022 06:00:00",-19.8,68.34,76.67,2.19,14.52,5481
"10:07:2022 07:00:00",-6.46,29.7,97.33,26.54,0.34,2407
"10:07:2022 08:00:00",-1.81,48.74,75.46,21.58,0.59,642
"10:07:2022 09:00:00",-15.85,26.64,32.24,13.79,8.72,2564
"10:07:2022 10:00:00",-0.95,69.4,37.19,30.8,19.67,8048
"10:07:2022 11:00:00",18.75,3.58,58.62,8.31,13.78,6934
"10:07:2022 12:00:00",-5.05,17.24,55.13,27.9,16.49,5935
"10:07:2022 13:00:00",10.17,12.48,90.96,1.08,9.02,8647
"10:07:2022 14:00:00",10.51,1.77,14,3.85,6.78,9193
"10:07:2022 15:00:00",-14.37,58.45,37.29,7.2,29.3,4496
"10:07:2022 16:00:00",-9.42,76.9,4.3,15.94,26.29,8654
"10:07:2022 17:00:00",5.39,56.26,14.45,13.53,20.83,7665
"10:07:2022 18:00:00",15.3,10.28,77.81,9.18,6.12,8480
"10:07:2022 19:00:00",-7.29,1.31,48.48,23.48,27.63,4043
"10:07:2022 20:00:00",3.2,30.43,92.5,16.51,1.56,8100
"10:07:2022 21:00:00",-7.78,77.01,36.27,14.51,20.99,1891
"10:07:2022 22:00:00",10.31,51.79,98.52,14.26,27.05,3451
"10:07:2022 23:00:00",-0.65,89.83,80.21,27.71,9.48,4714
