Time,Temperature,Humidity,"Battery level",Rain,Wind,Light
"19:07:2022 00:00:00",18.19,51.81,21.09,21.29,12.75,5710
"19:07:2022 01:00:00",4.75,15.63,26.29,1.99,7.44,9648
"19:07:2022 02:00:00",6.03,2.22,1.73,25.38,16.2,9085
"19:07:2022 03:00:00",4.51,41.31,12.93,11.1,9.74,247
"19:07:2022 04:00:00",13.41,70.69,50.24,18.34,6.17,7032
"19:07:2022 05:00:00",18.95,49.97,15.06,6.57,4.34,3645
"19:07:2022 06:00:00",-5.26,73.98,76.43,29.58,16.62,7341
"19:07:2022 07:00:00",13.15,65.71,73.17,18.18,13.15,769
"19:07:2022 08:00:00",-17.69,70.91,70.41,21.93,26.24,6393
"19:07:2022 09:00:00",-10.56,10.53,85.48,3.48,17,7577
"19:07:2022 10:00:00",9.83,16.64,54.5,12.75,26.11,2990
"19:07:2022 11:00:00",-3.29,1.27,7.32,4.5,3.91,3477
"19:07:2022 12:00:00",17.44,28.08,79.38,14.66,18.46,5229
"19:07:2022 13:00:00",5.97,46.13,3.19,14.82,3.38,8137
"19:07:2022 14:00:00",7.97,14.18,21.48,23.57,0.35,4165
"19:07:2022 15:00:00",-15.66,61.49,94.17,9.07,24.4,423
"19:07:2022 16:00:00",-19.77,86,87.46,19.36,2,1998
"19:07:2022 17:00:00",14.19,90.48,13.26,7.07,11.71,263
"19:07:2022 18:00:00",-8.84,48.33,83.73,14.16,20.25,5809
"19:07:2022 19:00:00",2.71,66.11,41.84,11.8,7.27,790
"19:07:2022 20:00:00",9.18,79.73,46.1,24.2,12.97,9339
"19:07:2022 21:00:00",13.56,35.09,4.02,5.83,1.97,495
"19:07:2022 22:00:00",11.08,1.01,88.43,18.13,11.78,8027
"19:07:2022 23:00:00",8.67,82.23,87.58,5.93,14.44,5512
